ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,q_prev_0,q_prev_1,q_prev_2,q_prev_3,q_prev_4,q_prev_5,q_prev_6,q_curr_0,q_curr_1,q_curr_2,q_curr_3,q_curr_4,q_curr_5,q_curr_6
-0.438065,0.160992,0.799001,0.740575,0.406356,0.207347,-0.493386,-1.205175,-0.629561,-1.315393,-1.389830,-1.970496,2.025065,-1.014992,-1.195683,-0.702302,-1.248583,-1.327433,-1.983122,2.043238,-1.135488
-0.441308,0.211674,0.785200,0.758244,0.425774,0.214164,-0.444878,-1.195683,-0.702302,-1.248583,-1.327433,-1.983122,2.043238,-1.135488,-1.253500,-0.716991,-1.302190,-1.291713,-1.883257,1.984407,-1.177361
-0.446023,0.189370,0.796869,0.728400,0.466924,0.214327,-0.453298,-1.253500,-0.716991,-1.302190,-1.291713,-1.883257,1.984407,-1.177361,-1.241728,-0.636435,-1.363309,-1.279261,-1.792192,1.901819,-1.241415
-0.437646,0.205198,0.805652,0.729024,0.446929,0.227548,-0.465833,-1.241728,-0.636435,-1.363309,-1.279261,-1.792192,1.901819,-1.241415,-1.262908,-0.662465,-1.322679,-1.267178,-1.880941,1.927590,-1.270291
-0.456059,0.203711,0.791811,0.717212,0.500103,0.237169,-0.423384,-1.262908,-0.662465,-1.322679,-1.267178,-1.880941,1.927590,-1.270291,-1.199186,-0.693844,-1.354509,-1.240122,-1.842794,1.949995,-1.354571
-0.472993,0.187255,0.757955,0.668744,0.576672,0.230336,-0.408871,-1.199186,-0.693844,-1.354509,-1.240122,-1.842794,1.949995,-1.354571,-1.172284,-0.745560,-1.342746,-1.311309,-1.820478,1.909665,-1.418703
-0.480118,0.194822,0.773821,0.688092,0.549820,0.225946,-0.416144,-1.172284,-0.745560,-1.342746,-1.311309,-1.820478,1.909665,-1.418703,-1.136593,-0.733477,-1.373444,-1.238750,-1.842511,1.911270,-1.405257
-0.477957,0.198383,0.767824,0.647139,0.603412,0.243470,-0.397275,-1.136593,-0.733477,-1.373444,-1.238750,-1.842511,1.911270,-1.405257,-1.167576,-0.709921,-1.400117,-1.259331,-1.774379,1.859241,-1.525896
-0.470488,0.093386,0.780580,0.564532,0.623113,0.275024,-0.466257,-1.167576,-0.709921,-1.400117,-1.259331,-1.774379,1.859241,-1.525896,-1.087029,-0.582454,-1.420380,-1.356173,-1.789903,1.844930,-1.535393
-0.447435,0.084457,0.768196,0.572778,0.613575,0.323187,-0.437037,-1.087029,-0.582454,-1.420380,-1.356173,-1.789903,1.844930,-1.535393,-1.142699,-0.553476,-1.394155,-1.430894,-1.754943,1.947564,-1.526795
